State,Year,population,property_crime_rate,burglary_rate,larceny_rate,motor_theft_rate,violent_crime_rate,assault_rate,murder_rate,rape_rate,robbery_rate,Data.Totals.Property.All,Data.Totals.Property.Burglary,Data.Totals.Property.Larceny,Data.Totals.Property.Motor,Data.Totals.Violent.All,Data.Totals.Violent.Assault,Data.Totals.Violent.Murder,Data.Totals.Violent.Rape,Data.Totals.Violent.Robbery,Unemployment_rate
Delaware,2002,805945,3346.0,664.4,2302.3,379.3,600.0,409.2,3.2,44.4,143.2,26967,5355,18555,3057,4836,3298,26,358,1154,4.3
Delaware,2003,818166,3415.3,741.4,2314.1,359.8,675.3,451.4,2.6,45.2,176.1,27943,6066,18933,2944,5525,3693,21,370,1441,4.5
Delaware,2004,830069,3283.6,683.0,2323.3,277.3,615.0,406.8,3.4,43.0,161.8,27256,5669,19285,2302,5105,3377,28,357,1343,4.3
Delaware,2005,841741,3118.0,690.4,2148.0,279.0,633.0,429.1,4.4,44.8,155.2,26245,5811,18085,2349,5332,3612,37,377,1306,4.5
Delaware,2006,853476,3476.4,742.5,2396.0,337.9,701.0,437.4,4.9,48.9,209.8,29670,6337,20449,2884,5983,3733,42,417,1791,3.9
Delaware,2007,864764,3378.5,742.4,2365.3,270.8,705.4,457.6,4.5,39.4,203.9,29216,6420,20454,2342,6100,3957,39,341,1763,3.6
Delaware,2008,873092,3594.7,776.9,2524.9,292.9,708.6,448.1,6.5,42.5,211.5,31385,6783,22045,2557,6187,3912,57,371,1847,5.0
Delaware,2009,885122,3353.8,784.4,2354.0,215.3,645.4,406.4,4.6,44.6,189.8,29685,6943,20836,1906,5713,3597,41,395,1680,8.4
Delaware,2010,899792,3453.9,839.1,2399.8,215.0,623.3,377.0,5.7,36.2,204.4,31078,7550,21593,1935,5608,3392,51,326,1839,8.7
Delaware,2011,908137,3431.5,838.8,2422.7,170.1,566.4,355.8,5.3,33.8,171.6,31163,7617,22001,1545,5144,3231,48,307,1558,7.6
Delaware,2012,917092,3340.9,803.7,2380.6,156.6,547.4,352.0,6.2,26.5,162.7,30639,7371,21832,1436,5020,3228,57,243,1492,7.1
Delaware,2013,925749,3065.5,662.3,2259.4,143.9,491.4,313.7,4.2,41.0,132.4,28379,6131,20916,1332,4549,2904,39,380,1226,6.6
Delaware,2014,935614,2982.0,616.5,2230.1,135.4,489.1,306.4,5.8,41.3,135.6,27900,5768,20865,1267,4576,2867,54,386,1269,5.6
Delaware,2015,945934,2691.0,504.6,2061.6,124.9,499.0,325.7,6.7,36.0,130.6,25455,4773,19501,1181,4720,3081,63,341,1235,4.8
Delaware,2016,952065,2766.0,527.6,2078.7,159.7,508.8,327.8,5.9,32.4,142.7,26334,5023,19791,1520,4844,3121,56,308,1359,4.5
Delaware,2017,961939,2440.6,412.7,1885.6,142.3,453.4,300.5,5.6,34.7,112.5,23477,3970,18138,1369,4361,2891,54,334,1082,4.5
Delaware,2018,967171,2324.4,326.5,1845.3,152.6,423.6,294.2,5.0,34.9,89.5,22481,3158,17847,1476,4097,2845,48,338,866,3.7
Delaware,2019,973764,2252.2,304.8,1782.7,164.7,422.6,304.7,4.9,31.8,81.1,21931,2968,17359,1604,4115,2967,48,310,790,3.6
District of Columbia,2000,572059,5768.6,829.5,3785.4,1153.7,1507.9,801.0,41.8,43.9,621.3,33000,4745,21655,6600,8626,4582,239,251,3554,5.7
District of Columbia,2001,573822,6139.9,862.5,3888.5,1388.9,1602.4,871.9,40.3,31.5,658.7,35232,4949,22313,7970,9195,5003,231,181,3780,6.5
District of Columbia,2002,569157,6409.0,908.4,3814.1,1686.5,1637.9,871.8,46.4,46.0,673.6,36477,5170,21708,9599,9322,4962,264,262,3834,7.0
District of Columbia,2003,557620,5863.5,837.7,3249.3,1776.5,1624.9,824.4,44.7,49.1,706.8,32696,4671,18119,9906,9061,4597,249,274,3941,7.3
District of Columbia,2004,554239,4852.8,712.0,2623.8,1517.0,1369.4,715.9,35.7,40.1,577.7,26896,3946,14542,8408,7590,3968,198,222,3202,8.1
